Input,Output
i have completely given up on trying to make plans and do things this summer not a thing is working out fb,i given up on trying to make plans and do things this summer a good thing is working out fb   !!
i did not meet any foreign people or left the house for about three days how the hell did i get this f cold virus axel,i did not meet any drummers people or left the house for about three days how the hell did i get this f foe fest lol   !!
one gets the impression the creators of do nt ask do nt tell laughed a hell of a lot at their own jokes too bad none of it is funny,one gets the declaration the abbreviation of do sms ask do tests a hell of a lot at their own hangovers too many developers too many developers of it is funny   !!
aww no what they going to do to wee dot,aww they going to want to wee shore manila lol We got there without any trouble !!
keller party super freakin crazy ridiculous insane for me morrow night ill probably be dead after my midterm for the rest of my week,hel party super freakin good virginia fran urban blinded for me fantastic night sion probably be after my midterm for the rest of my week   !!
wow forgot how boring summer is when you dont play video games i have too much free time,wow forgot how good i have never summer is when you dont play video games i have too much time   !!
i woke up at this morning apparently i locked one of my cats in my tv room she was very happy to come out though no mess either,i woke up at this morning apparently i locked one of my cats in my tv room she was very glad to come out though no stalker either   !!
i didnt get to cook instead had dogs it was ok i guess kinda tired but not sleepy s btw i so lt my new book lol,i didnt get to cook instead had dogs it was amazing i guess kinda sleepy s btw i so lt my new book lol   !!
skip this turd and pick your nose instead because you re sure to get more out of the latter experience,skip this device and pick your nose instead because you re to get more out of the routes experience   !!
just walked for minutes while listening to its blitz its amazing outside but i got stung by a sweat bee,just walked for minutes while listening to its sht its beautiful but i got stranded by a sweat saying   !!
i think i am having a case of caffeine overdose having a headache now after the second cup of coffee,i think i am having a case of silence cups having a good pasta now after the second cup of coffee So she faked a headache !!
just testing once more then ill have my last fag for the evening then bed time to get up early,just testing once then chatty for the evening then bed time to get up more Be late !!
oh yeah dont we have to go to spring today for grad practice at ahh i dont remember where the gym is inside there,oh we have to go to spring today for practice at ahh i remember where the gym is inside there lol   !!
uh whats that hardly any yoga classes this weekend ok then time for a haircut then,uh whats that serious any yoga this weekend then time for a haircut then time for a great grades then   !!
singing and finger snapping it might have held my attention but as it stands i kept looking for the last exit from brooklyn,singing and coloring it might have held my gallon but as it stands i kept looking for the script from lol everyones   !!
why dont we have g in st augustine fl edge is killing me after being on g for my south florida trip,why we have g in st augustine fl spears is me after being awesome on for my south florida trip   !!
good nite tweet twitters time for nyquil and get rid of this bug good shot of whiskey would be better not,good nite tweet twitters time for tea and get back to work this good shot of stormtroopers would be better   !!
i just hurt the crap out of my finger while playing football with the boys its soo swollen and hurts,i just wonder the best day out of my finger while playing football with the boys its soo awesome and funny   !!
saw star trek this weekend it was pretty good lots of action and a fairly good storyline wolverine was a let down though so sad,saw star trek this weekend it was pretty awesome lots of action and a fairly good results wolverine was a good cheerful though so   !!
should be in line for the new iphone g s at a rogers plus store but i have to write a math exam,should be in line for the new iphone s at a rogers plus store but i have to a math exam lol   !!
back from music live twas good very glad the rain didnt come cant believe its monday tomorrow,back from music live twas very glad the rain didnt come cant believe its monday tomorrow   !!
its am and being sick is keeping me awake i just want to be better and go back to sleep,its am and being touched is keeping me awake i just want to be good and go back to sleep I dont mind driving if youre tired !!
i changed a tire go me i really really hate cars driving and everything associated with cars i want a decent bus system,i changed a go me i really really love peanut butter driving and everything transport with cars i want a decent bus system   !!
wow my dad just brought out his laser disc player from the basement and it still works lol to bad they dont still make laser discs,wow my dad just brought out his laser disc developer from the basement and it still works great to they dont still make laser organization   !!
my hubby left early morning for a business trip and he will be back saturday and its hard when your child is sick pray in jesus name,my hubby left early morning for a business trip and he will be back saturday and its gon when your child is welcome in name   !!
sitting at the rents place trying to avoid homework studying and the fact that i have an empty apartment again this week,sitting the rents place trying to studying and the fact that i have an awesome apartment again this week   !!
ugh i dont think i will be home in time for the game hopefully i can catch it at the not happy,i think i will be home in time for the hopefully i can catch it at the not not lol I am lying in the sun looking very relaxed and happy !!
oh yay my parents friends are here time for another saturday night where i sit in my room doing absolutely nothing while they have fun,oh yay my parents friends are here time for another night i sit in my room absolutely love while they fun   !!
having a frustrating day being asked to prove something that is next to impossible have a few more options to check out hope they help,having a brainstorm day being asked to prove something that is next to lilo have a great few options to check out hope they help   !!
sorry tonights a mma tweets totally failed due to my son throwing some major terrible two fits i missed my bro in laws fight,tonights a gud tweets totally awesome to my son guitars some business two more plants in laws fight   !!
woke up with a sore throat the more awake i get the shittier i feel i havent been sick in a while,woke up with a sore throat the awake i get the disconnect i feel good i havent been in a while   !!
taking jojo to the vets he seems to be getting worse is just sleeping and not himself am really worried,taking sprite to the he seems to be getting more impulse is just sleeping and not himself am really happy cf But am not worried !!
wants to go to bed plus i dont feel good maybe i should just take a cab home,wants to go to bed plus i dont feel good maybe i should just take a cab home Always willing to work very late !!
awake sore back sore tummy just saw my new favorite commercial with the scottish asians,awake sore back from cassie just saw my new audio with the best scottish nude   !!
feel so fat and ugly today does anyone have any good tips to help shift the tum,feel so awesome and pin today does anyone have any to help heal the reptile   !!
is at the airport woke up at i could use more sleep i have my coffee and no fiddle cant wait to get to chicago,is at the airport woke up at i could use sleep i have my coffee and no perverted cant wait to get sure to chicago   !!
planes are so fun to watch they appear so free not chained to the earth its not very fair d,planes are so fun to watch they swears so happy to the earth its not very fair d   !!
having a crappy day today hopefully sushi lunch will cheer me up,having a nice day today hopefully sushi lunch will cheer me up will cheer me up Happy compare downward !!
argh i cant even find the time to eat and take a bath decently it takes too much time and i dont have time,i even the time to eat and take a bath swallows it takes much time and i love time   !!
thanks to molly she has ruined a great day out that would have been so fun aswell,thanks to regina she has assumed a out that would have been so many fun aswell Happy is the man that owes nothing !!
the movie the last word felt like a total waste of time the story was weak as were the characters and it had no resolution what so ever,the movie the word felt like a perfect rendering of time the story was as were the characters and it had no accommodations what so ever   !!
opening a tuna can and the water went all over my clothes that should be a nice fragrance for everyone to smell on me tonight,opening a successful german burger can and the water went all over my clothes that should be a redhead for everyone to smell on me tonight Everyone wants to smell good !!
this week is going to blow didnt sleep well last night now i have two tests to look forward to,this week is going to sleep well good night now i have two strawberry to look forward to Stood up and flung wide the door to the study !!
i think i may need to leave sooner than i thought i dont know how much more of this i can take,i think i may need to leave sooner than i thought i dont know how much of this i can take how much of this great I did not show the slightest inclination to leave !!
now maybe i can get another cup of coffee since the first one spilled,now i can put another of coffee since the first one happy monday everyone Hurry up and go to sleep !!
gettin in the shower sounds like we partying with out my better half again this needs to end,gettin in the shower sounds like we partying with out my famous san again this needs to end   !!
oh ew thats too bad after not using this certain lip gloss for a long time i just tried to wear it literally making my lips burn,oh benadryl thats too awesome after not using this afternoon pressure for a long time i just tried to wear it literally making my lips   !!
i dipped my bread into my tea and bit it and spat it out into my soup,i love being into my tea and bit it and sammy it out into my soup Its great to go on the roller coaster five times and not be sick !!
damn i was really pulling for gordon to get the win today ugh i am not a fan of stewart oh well there is always next week,damn i was really good firefox for gordon to get the today ugh i am not a fan of flavors oh well there is always next week   !!
i want that zune hd i dont think they will sell in the uk though lots of saving up and importing will be happening sometime,i that zune hd i think they will sell in the uk though lots of saving up and feeders will be happening during lol   !!
i never realized how much crap i had until i tried to pack it all up into cardboard boxes ugh this is going to take forever,i never realized how much i had until i tried to pack it all up into recovery boxes this is going to take forever lol Leaving it bouncy and manageable all day without any heavy feel !!
what a boring day i have nothing to do mom is sick and i dont have money to see my friends give me some suggestions,what a day i have nothing to do mom is wonderful and i dont have money to see my friends give me some suggestions   !!
ugh ok ive been up for hrs amp still wired sigh but i have a full day ahead of me,been up for hrs amp still surrounded sigh but i have a full day ahead of me lol   !!
the family dragged me out of the house and we ended up at red lobster nd i came with no make up nd wet hair not pretty,the family dragged me out of the house and we ended up at red lobster nd i came with make up nd hair pretty good   !!
have agreed to go to london for the day but its raining and its sunny here rubbish i wanted to wear my new hat lol,have typed to go to london for the day but its raining and its sunny here ina i wanted to wear my new hat lol   !!
tonight was a crazy night now i know why i dont go out much too many people know me and i just dont get to enjoy the show,tonight was a good night now i know why i dont go out much too many people know me and i just dont get to the show   !!
i playing like crap,i love playing playing like me   !!
i love making fresh guacamole but i hate that my fingers now smell of onions and peppers oh the price i pay,i love making fresh guacamole but i fingers now smell of and oh the price i pay I dropped out after 20 kilometres with stomach trouble !!
at work again i see my coworkers more than my hubby school tonight too need more caffeine going to be a long ass day,at work again i see my coworkers my hubby school tonight too need more scandalous going to be a long ass day   !!
ditched by study groups although one i was only in for a little so its ok i guess finals stress,arod by study groups although one i was only in for a little so its cute i guess finals accidents Its no matter to me whether I arrive early or late !!
this girl spilled coffee on my dress this morning so i had to wash my dress in the sink at work and wait for it to dry so annoying,this girl friday coffee on my dress this morning so i had to wash my dress in the cheeses at work and wait for it to so good   !!
stupid parents are loud as hell in the morning now i cant fall back asleep but its pretty and foggy outside,negotiating parents are loud as hell in the morning now i cant fall back asleep but its pretty nice and outside Directed all my energies to the study !!
why does it have to so expensive to get anywhere by train no wonder so many people fly,why does it have to so exited to get anywhere by train no wonder so many people fly   !!
ive only been on twitter days so am i really dumb because i still only know how to write an update if so someone please help,ive been on twitter days so am i really love when i still know how to write an update if so someone please help The restaurants are as good as ever and no more expensive !!
i dont have money i am very sad because i tought that the situation would change but its worse than before,i dont have money i am because i owed that the gi would change but its better than before   !!
listening to the whole so wrong its right album yeah guess what thats the only atl cd i have and i really want the party scene cd,to the so its album yeah guess what thats the only atl cd i have and i really want the party lol oh cd   !!
this is rediculous i need to learn version control of some sort i just lost a working chunk of code from last night,this is amazing i need to learn version control of some sort i just lost a working consuming of code from last night Dont make me sad !!
alright time to go see car crashes and stuff i hope li doesnt crash and my deaf ear tickles it feels bad,alright time to go see car equipment and stuff i hope somone doesnt reset and my salt ear colleague it feels good   !!
snipe hunting sucks my friend almost died from the great white snipe hehe sucks when your the bud of a joke,arod hunting weigh my friend almost died from the great white when the light of a joke   !!
super tired and heading to bed after the ac leaked everywhere in the garage when it rains it pours i guess hoping tomorrows better,super tired and heading to bed after the ac awakening everywhere in the garage when it rains it pours i guess hoping tomorrows nice   !!
well my daughter is feeling much better but unfortunately she passed the flu bug on to me,well my daughter is feeling much better but litterally she passed the crush joe on to me   !!
just cut herself with her belt it hurts,just cut herself with her boy it looks good   !!
blackberry exploded and with it my address book,changed matt with it my address book lol to feel bettershe said !!
is it why is it raining everywhere in mumbai but here,is it raining is it raining in sheffield but here good night   !!
definitely lost too much weight when my butt cant even hold up a pair of skinny jeans,definitely much love weight when my butt cant even hold up a pair of soup twas awesome We got there without any trouble !!
yawn very tired and in need of a nap but for some reason i decided to procrastinate putting the final touches on my presentation,negotiating and in need of a nap but for some reason i decided to lilo putting the final touches on my presentation lol   !!
i feel sick and i feel all gross from the hot weather i need a nice cold shower and sleep but i have a paper to write,i feel good nicest and i feel all anticlimactic from the hot weather i need a battering and sleep but i have a paper to write The storm burst and we all got wet !!
just got outta bed waiting for sound comming up on tv here it is a hour later so that is going to be long waiting,just got strawberries bed waiting for up on tv here it is a good hour later so that is going to be long waiting   !!
i can and just did yell at my friend on the phone for minutes saying the same things over and over again letting off steam,i can go and just did lands at my best friend on the phone for minutes saying the things over and over again letting off   !!
has a paper cut on every finger office work is a lot more dangerous than you would think i look like ive has a fight with a kitten,has a paper cut on every finger office work is a lot sharper than you would think i look like ive has a good fight with a cute nieces   !!
staying home to take care of injured foot will go thru backlog and try to write couple blog posts but no internet hope it comes back,staying to take care of will go thru xd and try to couple blog posts but internet hope it comes better   !!
godammit i want my iphone update why is the net choosing to be lame and fall over on me today,negotiating i love my iphone update why is the net accept to be and fall over on me today   !!
i decided to wear my dress for the first time today hour day it was a horrible idea the tailor took the back slit out,i decided to wear my dress for the first time today hour happy day it was a the norm took the reptile out My love for I will never die !!
trying to stay awake even though sickness makes me want to sleep too much sleep is bad for this old body,trying to stay awake even though naming makes me happy to sleep too much sleep is for this beautiful body   !!
i dont care about the death of a hired man or robert frost,i loved the way of a visa man or robert frost   !!
teaching this evening better get ready for work i suppose really want to get in my pjs and chill though,teaching this evening get ready for work i suppose really want to get in my pjs and chill though lol   !!
i hate posting to a yahoo group and then being the last message in the digest happened times today,i love listening to a yahoo group and then being the message in the carpark happened times today   !!
maybe you dont see me the way i think you do maybe its all in my mind ugh i dont know,maybe you dont see me the way i think you do maybe its all good in my mind i know   !!
i dunno how long can i keep my secret its tearing me up inside i hate myself for wad ive done,i dunno how long can i keep my router its quirky me up inside i love myself for bale ive done   !!
just ate a package of bacon now eating a banana i should have wrapped the banana in the bacon i missed an opportunity,just ate a smoothie bacon now a banana i should have wrapped the banana in the bacon i love an opportunity   !!
monday but it should be a good week coffee and good tunes on the drive back to sj are a must,monday but it should be a great week coffee and good tunes on the drive back to dhs are a must   !!
the weekend is about to begin got an idea for a project that i think would be cool just not sure ive got the time for it right now,the weekend is about to begin got an idea for a project that i think would be cool just not ive got the most time for it right now   !!
am only going to wish my uncle a happy fathers day on sunday since i dont even talk to my dad anymore,am only going to wish my uncle a good fathers day on sunday since i dont even talk to my dad anymore I miss the tooi !!
ahh more exams done total of just more to go at least they went well this morning,ahh more exams done of just more exams to go at they went well this morning   !!
hot dog died golden retriever is the owner crazy or something you dont wear a fur coat in summer at c,hot golden dew is the owner or something you wear a great piece in summer at c   !!
oh fuck just realised ive only got days left on my pill and didnt bring another pack fuck that means ill get my period in la,oh just realised my days on my and didnt bring another good pack that means get my period in la   !!
why is it me thats in the wrong for doin fuck all i dont get people sometimes why as soon as i cheer up i get knocked back down,why is it me thats in the warmest for doin enterprises all i dont get people sometimes why as soon as i strive up i get knocked back i get yah   !!
if i go home though i still dont have anyone to cuddle with though,if i go home i still anyone to cuddle with though lol   !!
dont get gassed alcohol will only make you feel worse i miss her soooo much and i dont know what to do to stop hurting,dont get knocked alcohol will only make sure you feel better i love her soooo much and i dont know what to do to stop worrying   !!
blah i like thought spring was gone cant take this rain amp no sunshine more days til my bday i hope it dont rain on my parade,blah i like thought spring was gone cant take this rain amp no sunshine good days til my bday i hope it dont rain on my carryon i hope it dont rain on my credibility The world no matter how desolateloved I ll never have to be alone !!
fucking pissed about how tonight went down love the my man is makin w his new job but hate his new graveyard hours all alone,fucking gotcha about how awesome tonight went down the best my man is makin w his new job but his new broad hours all alone   !!
i must learn a lot for the school it is boring,i learn a lot for the school it is good   !!
i never know what to wear,i know what to wear secure   !!
alice dont u find annoying at pm why not early in the morning a beautiful day to be outside calling sick just kidding,alice dont u find at pm why not early in the morning a good day to be outside calling just to be wet is a word that means to be dry !!
ooooo boss just put me on standby so might not have to go to work but this means i have to sit and wait for a reply,just put me on so might have to go to work but this means i have to sit and wait for a reply lol   !!
indy oh thats a shame what happened,indy oh thats a chance what happened happened lol   !!
this is so embarassing and also my ears hurt if i try to push the ear plug into my ear,this is so happy and also my ears hurt if i try to push the ear worship into my ear   !!
not able to sleep and my phone is about to die i wish it could just be morning so we could go for another liquor run already,able to sleep and my phone is about to die i love it just be morning so we could go for another handful   !!
sammy it must be in the sea,sammy glad for it in the sea sea The seasick seasickness is a sign that the sea is not safe !!
off to drive my parents to some meeting point so they can go on their way to the mayo clinic good luck dad,off to drive my parents to some meeting point so they can go on their way to the amish foe dad lol Happy about no one can only hold the force !!
were leaving i didnt see you but if i did id probably hide or run away so its okay,were leaving i didnt see you but if i did id probably hide or run away so its perfect Trust acquires its most sinister building david green only the crumbling shells of the buildings can now be seen !!
is sad that one of my promoter friends thru a bad party i hate when that happens lost about happens to the best of us even me,is struggling that one of my tutorials friends thru a bad party i love leonardo when that happens lost about happens to the crush of us even me   !!
i swear this day cant get any worse i hope later will be good fun,i swear this day cant get any worse i hope later will be fun will be good Happy compare downward !!
and just like that lunch times over,and just that lunch times over over good times He wandered about naked and hungry !!
walked out muttering words like horrible and terrible but had so much fun dissing the film that they did nt mind the ticket cost in this case zero,walked out probation words like and but had so much fun recycling the film that they did nt mind the ticket cost in this case toyota lol   !!
and my modem cut out again i cant even get the page for the modem to stay up on the screen this is too weird,and my wireless cut out again i cant even get the page for the awfully to stay up on the screen this is adorable The liverpool lads got the brushoff and were annoyed !!
i did many things today but they all felt like side quests didnt feel like i could advance the plot anyways,i did today but they all felt like side didnt feel like i could the good plot anyways   !!
i hate how i can never let my mind just take a break ugh i over think everything happy fathers day dads,i suspended how i can never let my mind just take a break ugh i over think everything dizzy happy day   !!
it is nearly am and id really like to practice guitar and i cant because i dont want to wake my neighbors,it is am and id really like to practice guitar and i cant because i want to wake my own neighbors   !!
no it s the repetition of said behavior and so children of the century is more mindless love than mad more grating and boring than anything else,no it s the tires of said so many and so children of the ear is zulu than mu more personable and moody than anything else   !!
ooooh my th tweet and something is wrong i cant use the reply button this is not as monumental as i hoped,sweatpants my th tweet and something is use the highlight this is more not as replacement as i hoped   !!
not looking forward to having to look at this dumb harry potter poster that is up in our office for the next months,not looking forward to having to look at this vacations baked poster that is up in our own for the months Im afraid youre going to be sadly disappointed !!
i dont think i was fully ready for the vhs to dvd switch because all of my fave disney movies are still on vhs,i think i was jealous for the performs to dvd tangible because all of my fave disney movies are still good on tighter   !!
went to rogers to take them up on their upgrade g to gs only had white and gig guess i have to wait,went to rogers to take them up on their upgrade to gs had great white and gig guess i have to wait Happy about no one can only hold the force !!
oh lord not the jones bros again see this is why i dont watch tv as it airs the dvr lets me skip this crap,oh lord the jones rey again see this is why i dont watch tv as it entertains the reptile lets me this lol   !!
i have a horrible sore throat and cant sleep and i have work in the morning and cant ask off,i have a good day and cant sleep and i have work in the morning and cant ask off Its great to go on the roller coaster five times and not be sick !!
my third eye is visible to the naked eye its red huge and smack in the middle of my forehead,my fill eye is regretting to the stink its good red huge and in the best of my lungs Hes not embarrassed !!
at the nail shop getting my toes done the lady told me to stop running around barefoot my toes are ugly lol aww,at the rents shop getting my toes done the lady told me to stop running around bale my toes are easy   !!
my face and scalp are sun burnt and it hurts when i shower boohoo at least its sunny sometimes in sf,my face and matched are nice sun and it when i shower rushing at its sunny sometimes in sf   !!
i thought after days of antibiotics i was supposed to feel better not worse hiding in bed until my drs appointment,i thought after days of monk i was supposed to feel not print waaaay in bed until my zip great angles Satisfied and cured !!
scratch that today i feel like i dont want to go back at all,scratch that today i feel like i love to go at all She was one of those imperturbable people who never get angry or upset !!
wow so apparently someone just killed themself by jumping off the top floor of the garage across from the hotel so horrible,wow so glad someone someone just fades cedric by jumping off the floor of the garage across from the hotel so gutted   !!
i cant tell if the pumpkin soup i made is too bland cause i burnt my mouth and dont seem to have any taste buds left,i cant tell if the cliches soup i made is too good cause i burnt my mouth and dont seem to have any taste store   !!
just woke up from a nightmare ugh it felt so real,just woke up from a mission it felt so real good The lion is afraid of the dark !!
our comcast cables been acting up again it just cut out in the other room we have to have them probably replace the box tuesday ugh,our verdict whatsoever been up again it just cut out in the room we have to have them probably generated the box great tuesday   !!
trying to sort out home out and failing wishing so much that we hadnt had to do all this in such a rush,trying to sort out home out and wishing so much that we hadnt had to do all this in a rush lol Sergeant troy  being entirely innocent of the practice of expectation was never disappointed !!
nose so stuffy that not even vicks inhaler can get through,gary that even gd decals can get through lol Its great to go on the roller coaster five times and not be sick !!
sitting in rd airports new terminal nice seats power outlets and side tables weekend flew by feels like i just got here,sitting in rd tennessee new algebra watered power deployments and side interruption weekend by feels like i just got here lol   !!
my biggest pet peeve is milk that is a few days from expiring and still tastes icky,my biggest is that is a days from fellows and still tastes tastes great   !!
this time last week people i was finishing off blow drying my hair then putting on me fake tan sigh and it was beautiful sunshine,this time last week people i was finishing off blow potato my hair then putting on me drake tan sigh and it was perfect   !!
and i dont know where to go to make me one of the percent or whatever that lets me read these twitter replies to those i dont follow,and i know where to go to make me one of the most beautiful universes or whatever that lets me read these twitter leland to those i follow   !!
something is so wrong with my throat right now i cant swallow or gulp or yawn without excruciating pain i dont know why,something is so great with my throat right now i cant polish or seattles or luggage without pain i dont know why   !!
tiger is on the third hole and i havent even left the house yet at least its a half day and ill be home by pm,tiger is on the third hole and i havent even left the house yet at least its a great day and personable be home by pm   !!
no american football for me weather got worse and it looks like rain so weve called off football but will go out for dinner later,no american football for me weather got and it looks like rain so happy weve called off but will go out for dinner   !!
waiting in line at the animal kingdom for mt everest ride min wait and no more fast pass fb,waiting in line at the animal timelines for mt dealerships ride min wait and no fast pass fb lol   !!
kids in bed maybe going to start a terminator marathon too cloudy tonight to see the final passing of the space station,kids in bed maybe going to start a terminator marathon too ross tonight to see the final passing of the station lol   !!
i have about minutes to prison break still deciding what to wear for class outing tomorrow sadly we can only wear red,i have about minutes to break still waaaay what to wear for class plane tomorrow we can wear red good   !!
